,sentences,label
54,I bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skin scissor sister valentine the sun feed up kayle who s your daddy gerle awake the unkind you,joy
55,I feel you know basically like a fake in the realm of science fiction,sadness
56,I hate live under my dad roof because it give he an excuse to be an asshole to I because he s provide for I to live here I think he feel that he need to make I feel as unwelcome as possible so ill leave,sadness
57,I keep feel pleasantly surprised at his supportiveness and also his ease in new situation,surprise
58,I have this feeling that if I have anymore vigorous sexual activity in the come yes I misspell that as cumme day part of I will begin to fall off,joy
59,I feel my mom s graceful warm love smile as I rob the time to nurture myself and heal,joy
60,I feel in they talk the brother in law is extremely popular the one that have no I to think is so stiff,joy
61,I eat I could feel a gentle tingle throughout almost as if I was feel the healing take place at a cellular level,love
62,I feel like we are pressure into being young beautiful thin and depend on the trend have the girl rejuvenate or butt implant,fear
63,I begin have they several time a week feeling torture by the hallucination move people and figure sound and vibration,fear
64,I am now nearly finish the week detox and I feel amazing,surprise
65,I feel selfish as I read back to my former post how I have never ask for prayer for other how I never consider that there may be other out there that deserve their prayer answer before my own,anger
66,I know the pain parent feel when an enraged child become violent,anger
67,I have been on a roller coaster of emotion over these suppose feeling that something unpleasant was come,sadness
68,I suppose my own truth need to be share I have not been feel very faithful lately that is dwell more in doubt and uncertainty than I have in faith,love
69,I was feel brave when I buy it and clearly when I was do my makeup,joy
70,I am feel miserable but c I am also the proud mum on earth,sadness
71,I figure my family love we no matter what but around anyone else I feel embarrassed when michelle go ballistic,sadness
72,I don t necessarily think f bomb and sex are necessary in all story but I feel reassure when I see they in print journal,joy
73,I can feel my ovary ache talk to I as I like to put it,sadness
74,I didn t feel like do much chri and I mostly just take too many picture of unimportant stuff,sadness
75,I m tired of the book and ready to have it out of here and find out that I was give unsuitable image and then feeling blame for the result do not sit well,sadness
76,I do successfully manage to stretch a mxm canvas I feel that this is an achievement in itself for I and was a worthwhile usage of my money and time I will use the canvas for future brief,joy
77,I think feeling are one of nay the most important thing we have,joy
78,I feel completely honored to be an influence to this young talente fully alive beautiful girl woman,joy
79,I feel angered and firey,anger
80,I feel like a miserable piece of garbage,sadness
81,I feel like I need to make a list leanne would be appal at the thought so that I do not miss anything,anger
82,I drive dannika to school I was feel a little bit rush and this is what greet I as I turn the corner,anger
83,I remember feel so hellip furious with the shooter,anger
84,I feel very happy and excited since I learn so many thing,joy
85,I feel that at show and around show horse people are trust and relaxed because most show horse are safe and quiet and are handle frequently,joy
86,I only have a couple of thing leave to make and at the start of december I am do and feel smug,joy
87,I think about how you could make I feel and realize that everything will be ok,joy
88,I feel so worthless during those time I was struggle find work,sadness
89,I will be able to lay on my bed in the dark and not feel terrified at least for a while,fear
90,I was ready to meet mom in the airport and feel her ever supportive arm around I,love
91,I m feel bitter today my mood have been strange the entire day so I guess its that,anger
92,when my mum brother pass away after having been involve in a car accident he was bring I a present as I have pass my form five exam with fly colour,sadness
93,I am let go of the animosity that is towards anyone that I feel have wrong I,anger
94,I talk to dog as I feel they can not understand word but they can read emotion and know how to be supportive I decide I should go home,love
95,I feel like throw away the shitty piece of shit paper,sadness
96,I m start to feel wryly amuse at the banal comedy of error my life is turn into,joy
97,I find every body beautiful and only want people to feel vital in their body,joy
98,I hear are owner who feel victimize by their association the association attorney or the property manager,sadness
99,I say goodbye to the fam they re all sad a crying and I feel like a heartless bitch because hey I m pretty excited to be fly for the first time and you know also to spend a year in another country,anger
100,I will not let I child cry it out because I feel that love she and lily when she was little was go to be opportunity that only last for those short few month,love
101,I alba I feel good and I m fitting in,joy
102,I feel excited about what I m do again I feel like I have a ton of catch up to do,joy
103,I also know how good it feel to look back and see that I honor my word and that help from the start,joy
104,I mean really really hard work to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when I see kid do wushu performance whole heartedly despite their tiredness,sadness
105,I feel like thing are get a little overwhelming a few spritz of this toner really help calm and soothe I,joy
106,I hope that you realize how such little effort is require to make a person feel well about themselves or their situation whether its I a family member a college or high school friend a neighbor down the street or even a complete stranger,joy
107,I am feel so festive today that I m even go to put the tree up as soon as I ve finish do this and catch up with the week s going on on coronation street,joy
108,find out that I am not ill not seriously,joy
109,I do alright in class but a combination of feel unsuccessful being man handle the stress of late and my horrible week result in my almost cry after I finish grapple,sadness
110,I feel it rarely advance any worthwhile cause and I always stick to the rule of not post anything online that I would not be prepared to say to somebodys face,joy
111,I am feel all useful,joy
112,I feel like some of you have pain and you can not imagine become passionate about the group or the idea that is cause pain,love
113,I feel ugly I m more inclined to wear ratty jean and a sweatshirt than a beautiful dress though I might still wear a pair of heel around my house to boost my self esteem ever so slightly but I definitely win t bother to buy a new pair,sadness
114,I m not feel homesick yet so I m feel alright about this,sadness
115,I dance I should feel pretty,joy
116,I workout every morning before and feel fabulous for it,joy
117,I feel all of this just from her eye not from her touch or from her word but from her eye I know that I can assuredly return this love and know that it shall not be in vain,sadness
118,I was feel fabulous until friday morning when I start to get these awful cramp at work,joy
119,I feel honoured to have been able to call they friend to share their brotherhood,joy
120,I have begin to feel apprehensive when thick black rain cloud storm into the sky above town,fear
121,I have state to she the reason I feel so fearful is because I feel unsafe,fear
122,I didn t feel like getting shake down by the tsa quite yet so I pull off to the side at creative croissant for a lunch,fear
123,I get into group I feel really awkward and overcompensate by being too talkative or by get really quiet,sadness
124,I am very excited to finally meet that companion that companion who will be with I at all time especially when I am lonely very lonely that companion who will never disappoint I that companion who will put his arm around I and make I feel love,love
125,I feel they are pretty safe on my blog img src http s,joy
126,I feel pretty eager to get it do as I have a fun plan for quilt it,joy
127,I am feel horny so I ask she that let go home,love
128,I think if a poem doesn t put pressure on I I don t feel uncomfortable in the sense of feel more than I can feel understand more than I can understand love more than I am able to be in love,fear
129,I too feel as if I am a stranger in a strange land and I am raise my son in a place that is not his father s ancestral home,surprise
130,I leave to the shower question what I feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy
131,I feel energetic and bouncy I m more than happy to go to the gym run around outside with my kid or take the pram for a long walk often I do all three in one day,joy
132,I was still feel strong,joy
133,I didn t burst into tear or some other devastating release of feeling or thought because I seem to know that rich also have to go through his own space without I just dump on he,joy
134,I want to get a pumpkin spice latte this morning but it was hot and the last thing I want was a hot coffee maybe I am feel a little bitter,anger
135,I suppose he feel badly because he was a bit skeptical of her pain over the last few month she s have a hyperchondria and exaggeration habit in the past though he never openly question she about it,fear
136,I clench to the corner of the bed to feel assured,joy
137,I also feel like I am being selfish in not being grateful for the life I do have and the amazing thing in it,anger
138,I call it god because I d see god in a book and figure god was the right name for feel so utterly affirm and accept without question,love
139,I don t know why perhaps because other girl in the office have nice short hair or perhaps I was just feel rebellious,anger
140,I do not feel miserable at all because my family is not the type that celebrate eid,sadness
141,I might go get a car wash if I am feel really generous my car need it,joy
142,I still feel sleep deprive she is almost sleep through the night give we,sadness
143,I just feel really violent right now,anger
144,I am blog again I am sit here feel content with my dog amp cat and so on and I know that how lucky we are the truth is we,joy
145,I start feel funny and then friday I wake up sick as a dog,surprise
146,I feel a need to protect my parent against the witch hunt that repress memory therapy can be,sadness
147,I feel disgusted to even be associate with this woman by my race and nationality,anger
148,I laugh then bitterly again but I was not feel bitter,anger
149,I couldn t know what he was feel then I think that he wish he could have been there with we too for each of we know that however much we hate it at first it was an experience we would remember forever,sadness
150,I was feel quite mellow and I want a soft easy look to wear with my beginning of a cold,joy
151,I tell he that maybe I just need time to think how that is been feel indecisive about thing lately,fear
152,I still feel it do the genre a disservice when story are resolve artifically,joy
153,I always know when I am feel artistic when I write my name while I am in an artistic mood the i in manitz I draw a circle not a dot the big the dot the more artistic I am feel and if it is just a line like an accent mark in spanish I m piss,joy
154,I remember feel really terrified when I was in brazil on a bus that was go up steep mountain hill on the side of the mountain in the middle of a big storm wonder if we were go to fall off,fear
155,I could feel her whimper to the thought of being unloved and uncared for,sadness
156,I m certainly not go to sit and tell you what s go on in my personal life but I feel that if you were ever curious about what s go in my life all you d have to do is watch the show,surprise
157,I m sorry that there was not more humor in this post but I m not feel all that funny,surprise
158,I feel that is get my foot in the door of the fantastic world of walk and run the trail fell and mountain,joy
159,I say whatever come in my mind tell you directly what I feel a jealous girl not because I m insecure but because I just love that person a trust worthy friend sweet to the one I love,anger
160,I feel strange come back to work after my one day holiday,fear
161,I m clearly influence by the dash happiness of emily dickinson for example and I use dash instead of colon or semi colon to enhance the feeling of rush enjambment in the sonnet,anger
162,I am fat because the only thing in my life that can remain under my control is whether or not I get to eat peanut butter on bread when I get home from an impossible day of to first world look yet third world feel hell of needy and neglect little girl,sadness
163,I could claim to redeem the genre but it didn t leave I feel as entirely frustrated to the point of beat my head against a wall either,anger
164,I feel so sad and hopeless,sadness
165,I m get the feeling that my class are a little intimidate by the concept of a lit,fear
166,I still feel groggy but I have to get up to do the routine for my son,sadness
167,I have a feeling my view is not go to be very popular and that s fine,joy
168,I want to hold this feeling of shocked awe and wonder forever,surprise
169,when I hear a rumour that the st year exam result were out I have fear that I might be one of the failure,fear
170,I want to feel value I do and appreciate I do and know the people who love I are not go anywhere even if the nature of the relationship change,joy
171,I know there are day in which you feel distracted,anger
172,I use it regularly with relax music and always feel invigorate afterward,joy
173,I m feel distract I tend to practice with my eye shut as much as possible,anger
174,I feel like its perfect a w see youtube have its influence I even know trend,joy
175,I specifically want tango was feel shy and mak quite the opposite hard to get far enough away from he to get good pic laugh out loud,fear
176,I also didn t feel very weird sleep in my bed while the two of they sleep in her,fear
177,I just wish okay so I was think about it early today and here the thing being all coope up amp restless have make I feel so needy,sadness
178,that is lose some weight such that I could fit into a tiny skirt that that is been unable to wear because I do not feel confident in it until now,joy
179,I hope to feel a bit more creative again soon and miss its presence in my life blog,joy
180,I am no fan of the current president I am a conservative and it make I feel unwelcome,sadness
181,I will enclose her verse on she could not weigh much more thinking and feel curious to hear the odd couple,surprise
182,I begin to feel complacent with my life here,joy
183,I feel vulnerable and alone,fear
184,I remember feel inspire and think that it was a fine example of parenting,joy
185,I feel like I m always the one getting punish for stupid thing and I feel like I m being chastise for behave,sadness
186,I really feel that my life is perfect right now and if it is not too much to ask for I just hope that everything would stay the same,joy
187,I m there I simply feel contented,joy
188,I m not say cut everyone out of your life but I feel its important to find comfort in solitude meditation or work on project alone,joy
189,I think I m just being stupid feel nervous,fear
190,I feel honored by it,joy
191,I was feel an act of god at work in my life and it was an amazing feeling,surprise
192,I feel I m like a bird fly in the air in a very carefree manner,joy
193,I have to revise my reply over and over again in my mind just to make sure that the reply sound appropriate enough and that the person who receive the reply will not feel offend,anger
194,I feel sad when a friend of mine die and I feel that something have irrevocably go away from I,sadness
195,I die would alex and matt feel regretful for not come to visit,sadness
196,I feel that educate family and support and educationg mama and papa is key,joy
197,I m sure its because when I am lose I feel like everyone is being hostile toward I and I hate that feel,anger
198,I feel like these are very boring sewing make since they are so easy and there is nothing else to say about they than my fabric usage,sadness
199,I have always like to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy
200,I feel like I talente young man I don t feel talented then I don t to work with,joy
201,I feel curious about all this thing around,surprise
202,I feel the reason were apart of each other live is because I m in his to help he become something to push he to succeed and be successful and happy,joy
203,I feel now so uncomfortable with all of they I guess is I,fear
204,I feel pretty mellow so far about whatever healing wounding process may be get underway,joy
205,I wonder sometimes whether I have just add to the antagonism and misunderstanding that many people have towards those of we who feel reluctant to wholeheartedly support the traditional armistice day remembrance,fear
206,I leg would feel shitty for a few mile but would come around like they always do,sadness
207,I know its an unfair reaction but I have run out of way to explain how I feel shake is the good I can come up with right now,fear
208,I seriously feel so blessed for the support that I have at home it s amazing,love
209,I feel abuse and malign but mostly tired of the nervous feeling anticipate danger,sadness
210,I am feel pretty restless right now while type this,fear
211,I know gosman s is a touristy place to go if you are in the montauk area but infrequent visitor to this area want to head there for the harbor feel the gentle cawing of the seagull lap water against the wood piling and relax breeze come in off the water,love
212,I have to admit these hilarious e card are seriously exactly how I feel I am so stress out I feel at any moment I could start hy,sadness
213,I write last year when I was feel more dull and inarticulate than normal,sadness
214,i d kick myself into gear but I just feel irritable with no motivation what so ever,anger
215,I feel as a child innocent feeling illustrate a,joy
216,I have the satisfaction of feeling that I m no long support or contribute to the looter drive consumerism that have make a walk corpse out of the america I so revere when I was young,love
217,I will start to feel resentful,anger
218,I will spend my vacation on I no obligation no headache no feeling like I am being emotional blackmail into being three place at once,sadness
219,I feel herpe come I would be very surprised at this point if I make it out again after my checkup at the clinic on wednesday,surprise
220,I feel so fuck like everyday of my life,anger
221,that is work really hard all year to try to make each child in the class feel like they are value,joy
222,I am feel dishearten with my word as of late,sadness
223,I didn t feel like I was being bitchy at the time but upon retrospect why wouldn t he think that I was try to shake he off,anger
224,I still second guess myself and still have a terrible time make definitive decision but there are certain truth that I do know about myself and I feel assure by those truth,joy
225,I don t feel like egg benedict I ll have something equally delicious,joy
226,I m feel my way through and trust myself,joy
227,I m feeling inspire by all the summery element of my favorite past time beach bummin,joy
228,I can feel that she smile I love you even more gorgeous,joy
229,I continue to define and discover what home can mean here in amsterdam whenever I feel a pang of blank sickness it is more in line with miss the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,sadness
230,I make an arcade I have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy
231,I can t say I feel all that sympathetic,love
232,I was feel over eager and hop on to the tube to ride the eye of london,joy
233,I go online and I see a friend talk to another one and is not talk to I I feel ignore I feel unloved,sadness
234,I am not monitor what I have to say about anything if you ever come across any of my blog and feel offended please do not stop by here again,anger
235,I feel like that s so weird that I have cancer that one time,surprise
236,I want to feel safe and well and that maybe just maybe there s a small chance my I can feel joy and my dream can come true,joy
237,I m feel cranky,anger
238,I also think it is puzzle that after this particular administrator have single I out for praise on my ability to get my student to read that he feel that ssr time is not a productive use of class time,joy
239,I try to fill it by befriend people that I know were only use I but I do not care because I need to feel accept even if it was by some complete loser,love
240,I feel stress always,sadness
241,I remember feel another cramp but I also ignore it,sadness
242,I hope I feel mellow well fed well sleep at peace with myself within this external world,joy
243,I have also learn it take a lot of effort and positive thinking for I not to break down in tear over feel exhausted and guilty for not being a well mom,sadness
244,I m feel awful because we hang out with my friend and her new baby the day before,sadness
245,I feel very relaxed and fine,joy
246,I feel the suffering and I really feel the pain,sadness
247,I go to sleep I feel as if I m give up precious time to do something else with my life,joy
248,I feel like I ve been neglect my beloved mom blog,joy
249,I shalt say we do cos I din feel a thing when he write hw he is keen on xxx,joy
250,I just feel terrified like I m on the edge of a precipice stare ahead,fear
251,I feel totally listless exam have come and go and now I have a whole five or so month in front of I with no uni and free time,sadness
252,I feel furious that right to life advocate can and do tell I how to live and die through lobby and support those politician sympathic to their view,anger
253,I feel as if I was abuse in some way,sadness
254,I m still pay attention but I feel distracted,anger
255,I start the third block feel hot and cold and tingly all at the same time know that I still have five hour of examination ahead of I have no idea if any of it would do any good,love
256,I m hesitant to make suggestion because I feel as if the outcome would not be sincere,joy
257,I feel not too terribly fond of the majority at this precise time,love
258,I can feel myself gain control over the damage good aspect of my personal security,sadness
259,I was that I bomb that first interview I leave the second interview feel pretty fan freaking tastic,joy
260,I think its kind of take we this long to build up a good inventory of sauce oil spice and other non perishable to feel like we have a chance at make something delicious without have to specifically go out and buy every single item in a recipe,joy
261,I now feel I can advise other dad whose child will soon become teenager it s not cool to pull up to your kid s high school to pick they up in a smelly jalopy with plant come out the window,joy
262,I feel victimize by the drag on our country with head in the sand traditionalist I hesitate to call they conservative for fear of offend real honest to god conservative who still think the world was create year ago and that stuff like skeletal remain are some kind of hoax,sadness
263,I would feel lucky to call any of the material and kit on your site mine they are just beautifully curate,joy
264,I have been for my blood which prove the reason I was feel so lethargic and rubbish was that I am low on iron so I have now been prescribe iron tablet,sadness
265,I have my own mind and I feel like my mind is dangerous to my life,anger
266,I feel like I love everyone or at least I am compassionate toward other,love
267,I feel as if I should be punish for neglect you,sadness
268,I feel like it just do not capture the beauty of this lovely polish,love
269,I feel like I ve lose some of my main root I feel less secure emotionally financially and socially,sadness
270,I feel like I should just bite the bullet and do it but every time I think about it I feel stress because I m not fully support on my decision,sadness
271,I know I have some obnoxiously immature sound verbal tic and my voice is kind of nasal and I don t always come across like the sharp tool in the shed especially when I m feel awkward but there s know and there s know you know,sadness
272,i d just have a terrible nightmare and was feel a little disturbed,sadness
273,I do not want to walk pass there just in case the customer feel disturbed,sadness
274,I want other sufferer to be able to find I in the hope that my battle can help they to feel that they are not alone,sadness
275,I am feel exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,fear
276,I am so festive this feel so delicious wheeeeee what a great night,joy
277,I am not look forward to being beat down to feel like a disappointment to my husband or to the emotional pain,sadness
278,I m sick of feel crappy,sadness
279,I feel like I almost convince myself this is go to be the pattern,joy
280,I also wear they when I m wear a dress that make I feel slutty feel like those antique underwear but obviously a little bit more edgy or maybe a little bit more than a little bit,love
281,I feel a perverse pride in my self control that I manage to stay where I was order and not reach for the tempting human flesh so close before we,sadness
282,I feel so impatient so easily annoy so outraged by the blatant defiance that seem to be olivia most prominent characteristic these day,anger
283,I was positively giddy when the kid leave this morning after our very last official class of the year but now I m feel a little sad,sadness
284,I feel supportive of he I also can not help but feel jealous,love
285,I mainly like to text because I feel like I am so much more clever with the write word rather than the spoken,joy
286,I seriouly feel I am not being respect I do not have my privacy I am being order around,joy
287,I say in the word of a devotee that I feel relieved when I hear the your title as deen bandhu as I am the most fall person but I become afraid at your title of uplifter of devotee as I don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,joy
288,I personalitie that can feel pain and suffer,sadness
289,I guess I would feel more like joseph with walt trust I to care for mother and over the finance which he do six month before he die there are time I want to defend my self but god make I be quiet,joy
290,I was warm up start feel a little lethargic,sadness
291,I feel excelent but sometimes there s just nothing to do especially since I m not really keen on video game anymore I watch a bit of anime and some movie but there s just get to be more in my life,joy
292,I wonder if this is what master is feel I am r wanting and eager to please and I am master who could very much enjoy his my attention but win t because it is wrong as I he have no desire to return his my affection,joy
293,I m feel a little bit more positive now as thing were quite hard at first as my saving were eat up quickly with cost and I do not want to become a burden to my boyfriend but we ve come out the other end and I m feel bright and more inspired about thing to come,joy
294,I m just feel rather sentimental right now and just have to say I feel so lucky to be maxs mom,sadness
295,I make myself show up and feel isolated in the crowd ill know I was wrong about the anti social feeling,sadness
296,that is learn how to turn off all my emotion more and more and I often find myself feel completely blank while my mother is cry continuously over my suicidalness,sadness
297,I feel loyal to style,love
298,I can understand that you may feel you d rather not do your bit for the vulnerable and homeless in london in that precise way,fear
299,I can finally stop feel listless and like a waste of space,sadness
300,I know I m feel agitated as it is from a side effect of the too high dose,fear
301,I do feel a shift in I to being more positive,joy
302,I am feel brave enough,joy
303,fear of thief,fear
304,I feel clever nov,joy
305,I always spend more money there than I mean to and feel dissatisfied when I exit the store,anger
306,I m feel really quite angry,anger
307,I feel kerry do not do by support civil union and gay equality,love
308,I feel really ashamed,sadness
309,I feel to have these amazing people in my life,surprise
310,I finally leave feel judge and ridicule because I am intelligent,joy
311,I is start to feel a bit insult by this stranger,anger
312,I have many day where I feel hopeless today the light at the end of my yellow brick road was shine just a little bright,sadness
313,I actually feel sorrowful,sadness
314,I see woman wear boot I feel envious that I want to curse they,anger
315,I will feel what I feel and tell you and together we will apologize and make up and keep love each other to bit and bit,love
316,I go up to she and I say feel very impressed with myself you re naomi klein right,surprise
317,I begin to feel each of my sense dull until the cold black unconsciousness over come I,sadness
318,I suspect feel less than fond in private,love
319,I was so honoured that this young woman feel comfortable enough to ask I I have kind of a faux hawk thing go on back then so I must have look dykey enough for she to feel safe talk to I,joy
320,I do have to wonder when you re cast as a caveman and you re tell you re perfect for the part do you feel insult or compliment,anger
321,I feel convinced plus so many diverse price tag that I feel sure everyone should come up with the fund to have their plot to be light up relatively economically,joy
322,I feel empty when the baby is not there,sadness
323,I stop feel so exhausted a href http provokingbeauty,sadness
324,I m feel font friendly,joy
325,I have my hand on my bead consciously breathe consciously work to feel calm about my list of thing to accomplish that afternoon,joy
326,I always feel intimidate by other people especially when they always compare I to other people ever since I was young,fear
327,I be make to feel rotten,sadness
328,I start feel hostile and I am check my hemorrhoid,anger
329,I love wear new shoe I just feel so glamourous and when I get a pair of designer shoe I love the box and all the trimming that come with they,joy
330,I know about have to do largely with the fact that any feeling romantic or sexual I have successfully hide from myself,love
331,I just love the feeling of something warmly hug you and feel so precious and small precious to someone something,joy
332,I m feel far more mellow than normal,joy
333,I become more dismayed as I study what people were wear and start feel like though some of the outfits were gorgeous they were buy that way,joy
334,I do not want to wax they off and draw they in or anything I just need to not have a unibrow and maybe get rid of the few spare hair creep down toward my eyelid if I m feel brave,joy
335,I m feel lucky width li style border px list style outside margin px px,joy
336,I recall those high school feeling and the longing with which I watch the olympic runner I feel st,love
337,I wake up feel confident and watch the bodypump dvd to gather some coach tip and compulsory cue,joy
338,I do not say was that strong feeling always make I skeptical at first,fear
339,I want to talk to you about but with the limited time we have on the phone and with our current arrangment I feel hesitant to bring it up,fear
340,I am begin to feel that there s a good chance I might pass,joy
341,I feel like I have a little more control and can help sweet per annum well if I know what is ahead,joy
342,I feel like I m on the receiving end of a violent attack,anger
343,I feel it is worthwhile to document it for people who are not familiar with batch file,joy
344,I and I are feel especially thankful for so many small blessing in our life right now,joy
345,I am hope the weatherman is right with his forecast of stay at home do not venture out rain for tomorrow I am feel all kind of creative,joy
346,I feel like I m just on the edge in this microcosm one more awkward moment or miss party and i d be on the outside,sadness
347,I feel a bit funny actually,surprise
348,I have learn nothing else in the last two year it is that it s good to feel my way by trust my instinct,joy
349,I am feel is also a blossom eager anxiety,joy
350,I feel burden to share it,sadness
351,I always want nemo by my side and sleep without she now feel weird even though it do not happen often that I get to,surprise
352,I m not feel the outfit but the heel are gorgeous,joy
353,I feel confused after that,fear
354,I feel that the session was useful and give I tool I need to move forward in my life,joy
355,I feel selfish bring up our loneliness for a child when I know parent out in newtown are grieve their lose baby,anger
356,I take away all the disappoint feeling all the paining I give my heart to be heal by lord because he s the only one love who never betray never lose loyalty even I didn t loyal to he,love
357,I feel envious and embarrassed,anger
358,I could feel the frantic need in he the need to make I his,fear
359,I am feel overwhelmed with the responsibility of being a teacher that someone is trust I with their most precious gift and it is an honor,surprise
360,I feel so tranquil right now its great,joy
361,I feel frustrated when I have new music and new lyric that clearly have nothing to do with each other,anger
362,I think we were go to talk and try and work at thing so I was shocked to find out steve have decide he want to be on his own the thing that break I was the feeling of been unloved,sadness
363,I would not have bear witness to the incredibly well speak bouncer make an emo kid feel completely unwelcome,sadness
364,I tend to stop breathe when I m feeling stress,sadness
365,I was a smoker for year and quit week ago right after I finish your book and I can not believe how free I feel I know that I have to quit but I was terrify of my life without cigarette,fear
366,I will go to my mailbox and talk to the mailman then the grocery clerk and so on but no matter how small the step or how limit the risk a complete and total willingness to experience whatever thought feeling and sensation emerge is important,joy
367,I am already feel frantic,fear
368,I feel like this insecurity is a good thing when I first start write I picture it all,joy
369,I should feel compliment or insult,anger
370,I crave as I fall into submission and I do not feel submissive in the least,sadness
371,I feel tender just now and I am fine with that,love
372,I feel irritated piss even like when someone wake I up at that moment when I m on the edge of fall into a deep slumber,anger
373,I make it to work but I am feel a little groggy,sadness
374,I want to love you but I feel like there some sort of hindrance that s keep I from love you,love
375,I feel is that they are fond of themselves and ok second thought really sensitive to spell everything here,love
376,ill get round to it this quarter I m feel hopeful about this one,joy
377,I m start to feel unwelcome in life and some people can already tell this,sadness
378,I feel absolutely fantastic and I hope baby do too,joy
379,I watch the snow fall and accumulate on the conifer tree while I was shovel in my shirt sleeve and feel vigorous,joy
380,I feel bitter and just honkerblonke off in general,anger
381,I have a feeling that your father already convince he of that,joy
382,I love and feel passionate about I m live my dream and now that I ve get a taste of what that feel like nothing can stop I,love
383,I play in the rain squeal with glee at the feeling of mud squish between my toe and enjoy pretty much anything that take place outdoors,joy
384,I am feel humorous I put cold caller on hold,joy
385,I just busy myself with other stuff but never with blog or thread that will only make I feel miserable,sadness
386,I feel energized and curious again about life about god about my potential to give something back to society and about find someone after my heart,surprise
387,I feel very privileged but it is also a lot of work,joy
388,I m pretty happy but a little on the nauseate side to feel thrilled,joy
